algorithm_name,input_size,trial,time_ms,memory_bytes,timestamp
binarySearch,10000,3,0.0493,25560,1787657834089
linearSearch,10000,3,0.0904,25560,1787657834093
insertionSort,10000,3,4.6920,0,1787657834100
selectionSort,10000,3,18.7845,0,1787657834122
mergeSort,10000,3,0.7113,956072,1787657834125
quickSort,10000,3,0.5229,0,1787657834128
binarySearch,10000,4,0.0282,25560,1787657834131
linearSearch,10000,4,0.0308,25560,1787657834133
insertionSort,10000,4,4.6868,0,1787657834140
selectionSort,10000,4,19.0314,0,1787657834162
mergeSort,10000,4,0.6912,956072,1787657834165
quickSort,10000,4,0.4685,0,1787657834168
binarySearch,10000,5,0.0316,25560,1787657834171
linearSearch,10000,5,0.0343,25560,1787657834173
insertionSort,10000,5,5.0110,0,1787657834180
selectionSort,10000,5,18.9704,0,1787657834202
mergeSort,10000,5,0.6765,956072,1787657834205
quickSort,10000,5,0.5754,0,1787657834208
binarySearch,50000,1,0.0367,25560,1787657834214
linearSearch,50000,1,0.2992,25560,1787657834217
insertionSort,50000,1,116.1176,0,1787657834335
selectionSort,50000,1,477.1199,0,1787657834815
mergeSort,50000,1,4.8077,1036896,1787657834823
quickSort,50000,1,3.5620,0,1787657834830
binarySearch,50000,2,0.0897,28296,1787657834839
linearSearch,50000,2,0.3373,42424,1787657834845
insertionSort,50000,2,125.1446,0,1787657834974
selectionSort,50000,2,486.9344,0,1787657835464
mergeSort,50000,2,4.2462,1978368,1787657835471
quickSort,50000,2,2.6720,0,1787657835476
binarySearch,50000,3,0.0342,31320,1787657835484
linearSearch,50000,3,0.1046,62592,1787657835486
insertionSort,50000,3,115.6685,0,1787657835606
selectionSort,50000,3,450.4688,0,1787657836059
mergeSort,50000,3,4.0233,1972328,1787657836065
quickSort,50000,3,2.7359,0,1787657836071
binarySearch,50000,4,0.0609,48864,1787657836077
linearSearch,50000,4,0.1310,65112,1787657836079
insertionSort,50000,4,115.9091,0,1787657836199
selectionSort,50000,4,451.9376,0,1787657836654
mergeSort,50000,4,4.1433,914744,1787657836661
quickSort,50000,4,2.4758,0,1787657836666
binarySearch,50000,5,0.0319,53464,1787657836672
linearSearch,50000,5,0.0756,71272,1787657836675
insertionSort,50000,5,115.7044,0,1787657836795
selectionSort,50000,5,450.7707,0,1787657837248
mergeSort,50000,5,4.0556,902104,1787657837255
quickSort,50000,5,2.5542,0,1787657837260
